testname,width,height,num_seams_removed,grey,conv,convp,pathsum,minpath,rmpath,malloc,total
base,1920,1080,1,79346348,1150280218,0,82879872,87348,4901364,17393417,133488856
base,1920,1080,1,46622624,1073244976,0,82336756,85032,4866544,9026108,121618204
base,1920,1080,1,46739504,973886103,0,72959808,73420,4273670,8588563,110652106
base,1920,1080,1,41652779,954580052,0,72992262,70950,4253824,8059664,108160953
base,1920,1080,1,41500553,953991287,0,73067843,73728,4295967,8070854,108100023
base,1920,1080,1,41499552,954771529,0,73035250,71596,4291598,7850356,108151988
base,1920,1080,1,41670630,954285987,0,73755514,71383,4407708,8174311,108236553
base,1920,1080,1,41530787,953970688,0,73381620,71878,4289577,8095299,108133984
base,1920,1080,1,41448404,954855046,0,73013129,69696,4201557,7869818,108145765
base,1920,1080,1,41663709,955384128,0,73269158,70199,4327067,8042777,108275703
base,1920,1080,1,41494586,953881268,0,73041364,71343,4295832,8096992,108088138
base,1920,1080,1,41451712,954341408,0,73030060,70700,4199084,7875990,108096895
base,1920,1080,1,41675409,954623293,0,72958293,71130,4227078,8037137,108159234
base,1920,1080,1,41518208,955490644,0,73054275,71017,4281996,8059960,108247610
base,1920,1080,1,41465510,955337291,0,73036864,70918,4239894,7861886,108201236
base,1920,1080,1,41664588,954367593,0,72973251,71000,4243773,8035815,108135602
base,1920,1080,61,81750634,1162180604,194089481,4366695110,4572220,243989027,14329778,606760685
base,1920,1080,61,39915022,954123334,186674207,4202749295,4375439,236339851,5135029,562931217
base,1920,1080,61,41471438,953649454,187235742,4201769410,4390193,237678474,7855899,563405061
base,1920,1080,61,41448873,955004765,187825228,4202375416,4382174,239799098,7849186,563868474
base,1920,1080,61,41442816,953962798,187265396,4201404379,4387980,234300947,8123653,563088796
base,1920,1080,61,41399956,955109699,187717220,4205510196,4380617,238346486,7856129,564032030
base,1920,1080,61,41458109,953830828,187049546,4202820365,4379727,238532414,7803379,563587436
base,1920,1080,61,41464364,953872236,187606877,4203464634,4388129,235569587,7918076,563428390
base,1920,1080,61,41412957,954902351,187472578,4202267737,4395379,240060012,7870255,563838126
base,1920,1080,61,41458077,953835727,187659583,4203606008,4389012,237837449,7903783,563668963
base,1920,1080,61,41756803,953920434,187570421,4203712298,4400466,234403929,7909804,563367415
base,1920,1080,61,41372340,954990289,187881162,4201376161,4373610,238523192,7860344,563637709
base,1920,1080,61,41443078,953899851,187033505,4202888990,4371163,235085747,7851677,563257401
base,1920,1080,61,42116748,954512876,187698360,4210094885,4396132,235596669,7899938,564231560
base,1920,1080,61,41419733,954092108,187393862,4202540292,4384818,233948520,8428707,563220804
base,1920,1080,61,41380515,954858426,190864622,4266747400,4922102,277517202,8113347,574440361
base,1920,1080,121,81455222,1161096668,366515016,8053979987,8693699,482735184,13648086,1016812386
base,1920,1080,121,37673649,911739286,356152926,7819661085,8422807,470541304,4725462,960891651
base,1920,1080,121,39352936,910338268,358039611,7817071150,8382033,481036488,8122129,962234261
base,1920,1080,121,41367390,911109587,362178332,7864549681,8420561,476668325,7887468,967218134
base,1920,1080,121,39622790,910429184,363955335,7833603932,10166769,547002688,7682337,971246303
base,1920,1080,121,39725358,905761661,356020644,7770776500,8244843,440251350,8080145,952886050
base,1920,1080,121,39483730,907291892,356628581,7768483034,8265711,440640986,7949215,952874314
base,1920,1080,121,39272674,906178971,356128532,7769090190,8299699,436660505,8029383,952365995
base,1920,1080,121,39339904,905555748,355564273,7770253825,8251640,438283418,7845218,952509402
base,1920,1080,121,39482143,905284553,355586032,7772502563,8257869,439169875,8099715,952838275
base,1920,1080,121,39289536,907783149,356361661,7770901770,8271996,441745493,7896306,953224991
base,1920,1080,121,39289103,907881097,355976906,7768533169,8276753,442644765,7778114,953037990
base,1920,1080,121,39485093,906028723,355838011,7769118948,8286917,438640613,8074049,952547235
base,1920,1080,121,39279781,905466395,357020443,7771798066,8277084,441675350,8021235,953153835
base,1920,1080,121,39312396,905520646,356142965,7769939009,8245807,437514824,7714568,952439021
base,1920,1080,121,39457558,906969423,355949906,7769808387,8241878,438899044,8144718,952747091
base,1920,1080,181,81007427,1158365692,569190939,12224053579,13037993,654325953,15197342,1471517892
base,1920,1080,181,39688270,953262680,560478288,12064574278,12874297,639631369,5031964,1427554114
base,1920,1080,181,41576893,954202272,563145619,12091678768,13084361,655996882,8073533,1432775832
base,1920,1080,181,41603532,953912637,562062871,12066656945,12891196,651009971,7985992,1429612314
base,1920,1080,181,41482261,953296393,563045477,12096004847,13022449,658841611,8087223,1433378026
base,1920,1080,181,41461088,954754200,561672473,12062790132,12841970,646129978,8207828,1428785766
base,1920,1080,181,41605373,954293545,561685601,12060755705,12822885,644754900,8113645,1428403165
base,1920,1080,181,41554933,955582805,562746657,12074221536,12881527,650361513,8116058,1430546502
base,1920,1080,181,43677530,958331820,561424949,12061972191,12905918,648616578,8209376,1429513836
base,1920,1080,181,41818560,959417923,564141244,12099356244,13037100,657966113,7909439,1434364662
base,1920,1080,181,41551389,954966365,561253942,12060791779,12961771,647573048,7907917,1428700621
base,1920,1080,181,41526415,954627165,561956519,12072166949,12981308,655818595,8008546,1430708549
base,1920,1080,181,41690042,954184247,562538932,12086725499,13067101,656375591,8040975,1432262238
base,1920,1080,181,41432856,954046013,562086921,12062486062,12887018,646506449,8102501,1428754782
base,1920,1080,181,41408492,953715665,562942651,12064069934,12966731,649767212,8104881,1429297556
base,1920,1080,181,41505952,954544047,561703777,12061057637,12998054,649118847,8150116,1428907843
base,1920,1080,241,82132848,1160858614,756491942,15957965023,17102782,828356699,15714328,1881862223
base,1920,1080,241,39712462,954250851,748142243,15786787968,16995315,809079801,5219423,1836018806
base,1920,1080,241,41595767,955341379,748681576,15791133808,16959372,823444222,8481589,1838563771
base,1920,1080,241,41831081,955001885,749357635,15787550974,16964363,820664759,8483557,1837985425
base,1920,1080,241,41480899,954358508,748667120,15785013348,16992603,823399331,8311744,1837822355
base,1920,1080,241,41740495,955046377,749986434,15789191025,16977891,821610155,8702248,1838325462
base,1920,1080,241,41516227,954413551,749036720,15787565245,16955009,827334941,8371374,1838519306
base,1920,1080,241,41636230,954584963,750036870,15796672168,16955654,819794561,8351189,1838803163
base,1920,1080,241,41579293,953813585,748887180,15790075218,16979399,819620608,8528404,1837948368
base,1920,1080,241,41701158,954262618,749185507,15795822926,17007473,819131454,8685686,1838579682
base,1920,1080,241,41520931,954542255,749151314,15792743439,16965560,827494181,8316495,1839073417
base,1920,1080,241,41570269,954217190,749217170,15791563146,16962860,827810143,8467351,1838980812
base,1920,1080,241,41703628,954747368,748953900,15793392493,16965672,825520626,8515079,1838979876
base,1920,1080,241,41942938,953677583,748674591,15788529316,16976160,832229861,8568465,1839059891
base,1920,1080,241,41550583,954201565,749375245,15786122244,16923176,826313513,8427775,1838291410
base,1920,1080,241,41685606,953641358,749089962,15786550550,16999889,820271005,8548002,1837678637
base,1920,1080,301,81652884,1160773786,944594197,19567986273,21353112,1000698694,15310842,2279236978
base,1920,1080,301,39715744,954367008,935924708,19417802382,21165506,975909587,5155525,2235004046
base,1920,1080,301,41820565,954677586,935997783,19386745319,21234706,979501193,8364973,2232834212
base,1920,1080,301,41434237,954116980,936380459,19396655120,21278588,989081838,8308849,2234725607
base,1920,1080,301,41441914,953873827,936356902,19386011855,21136354,972506506,8331189,2231965854
base,1920,1080,301,41512564,953710482,936884313,19392752767,21323149,975503235,8450744,2233013725
base,1920,1080,301,41405871,953888297,936924964,19385467153,21366954,985117020,8240565,2233241082
base,1920,1080,301,41480876,954892009,972299511,20047436365,21861660,1007865713,8412431,2305424856
base,1920,1080,301,41534499,953815168,936227419,19383980451,21180505,980855534,8548138,2232614171
base,1920,1080,301,41888271,953783060,936025846,19385254423,21125872,983110479,8279430,2232946738
base,1920,1080,301,41425708,954497312,935534017,19384164820,21129444,979168814,8342768,2232426288
base,1920,1080,301,42124227,953695200,936063829,19387358397,21116335,984085555,8428675,2233287221
base,1920,1080,301,41455843,954726851,936076792,19389446661,21156894,991485463,8312828,2234266133
base,1920,1080,301,41600852,953692026,936850217,19381960908,21129730,987530576,8330601,2233109491
base,1920,1080,301,41464256,953910409,936317405,19382556487,21082453,986668780,8453638,2233045342
base,1920,1080,301,41461836,954047526,935181166,19380272174,21070982,982651923,8189546,2232287515
base,1920,1080,361,82173172,1160843302,1130702733,23018073394,26126533,1138600294,15663548,2657218297
base,1920,1080,361,40016023,955040529,1123482906,22885927116,25351759,1131816616,5661118,2616729606
base,1920,1080,361,41584236,954608381,1122415025,22851654051,25190761,1127059578,8833422,2613134545
base,1920,1080,361,41630205,954806490,1124162100,22856420224,25242619,1132389894,8534873,2614318640
base,1920,1080,361,41294589,954581181,1123878487,22858144548,25400566,1131305839,8545268,2614315047
base,1920,1080,361,41382784,954489213,1123986500,22857562970,25249803,1121080356,8107656,2613185928
base,1920,1080,361,41586089,954790854,1122544670,22853275101,25223516,1132846071,8482060,2613874836
base,1920,1080,361,41492282,954123613,1122266578,22853745875,25221587,1132555235,8754396,2613815956
base,1920,1080,361,41358862,954574316,1122707219,22851185746,25225930,1130605903,8421677,2613407965
base,1920,1080,361,41334365,953806054,1122981109,22855970542,25301765,1137692859,8796482,2614588317
base,1920,1080,361,41370633,954330694,1122507938,22852346770,25235269,1133328084,8628302,2613774769
base,1920,1080,361,41342769,959726758,1122294913,22857637641,25225690,1128725053,8351286,2614330411
base,1920,1080,361,41647383,954300451,1123063967,22849649599,25220826,1155981871,8599027,2615846312
base,1920,1080,361,41361411,954934627,1122418581,22858833943,25214947,1134532880,8641237,2614593762
base,1920,1080,361,41521868,954428960,1123198230,22853628600,25297440,1123510956,8877070,2613046312
base,1920,1080,361,41485935,954427133,1122312517,22851124463,25243527,1134139189,8705851,2613743861
base,1920,1080,421,82432289,1160127338,1344796906,26859860184,30307867,1294381219,15355304,3078726110
base,1920,1080,421,39692125,954056369,1308926491,26188970544,29652261,1250931816,5486154,2977771576
base,1920,1080,421,41552343,956735337,1311941598,26214904676,29726543,1285983803,8618857,2984946315
base,1920,1080,421,41917295,961113338,1311882835,26236896394,29755999,1294403310,8548954,2988451812
base,1920,1080,421,41846932,953663694,1310269885,26194142012,29733512,1267573268,8401025,2980563032
base,1920,1080,421,42050289,954283369,1312638615,26192233428,29718161,1268084666,8395312,2980740384
base,1920,1080,421,41483095,954367410,1311348228,26192940555,29618485,1281537099,8244749,2981953962
base,1920,1080,421,41536597,953757041,1312897091,26245308916,29867256,1290820283,8417737,2988260492
base,1920,1080,421,41502441,953504945,1312071764,26201973916,29669743,1283236127,8296867,2983025580
base,1920,1080,421,41482993,953940358,1311340679,26189182652,29640666,1270362915,8377262,2980432752
base,1920,1080,421,41446028,954196853,1310709016,26196285322,29659229,1273284728,8437885,2981401906
base,1920,1080,421,41525996,953886935,1309983751,26193073572,29681184,1273576978,8439992,2981016840
base,1920,1080,421,41609318,954376913,1314519674,26285177764,29860180,1283590230,8354828,2991748890
base,1920,1080,421,41615095,955017649,1312272847,26202825305,29686587,1282747191,8419986,2983258466
base,1920,1080,421,41520972,954630746,1312528124,26200118531,29675964,1287077440,8465982,2983401775
base,1920,1080,421,41514546,953427136,1311610180,26191112726,29647476,1271258861,8314957,2980688588
base,1920,1080,481,82045331,1160952174,1506292260,29562833717,33934966,1418602752,15529905,3378019110
base,1920,1080,481,39704721,953594877,1496244869,29390110865,33649713,1369141830,5482109,3328792898
base,1920,1080,481,41577076,954266022,1498299546,29392565605,33470681,1385981154,8295982,3331445606
base,1920,1080,481,41538414,954438397,1497782640,29390758331,33770811,1404222887,8679903,3333119138
